image,label
anger/image0000006.jpg,6
anger/image0000060.jpg,6
anger/image0000061.jpg,6
anger/image0000066.jpg,6
anger/image0000106.jpg,6
anger/image0000132.jpg,6
anger/image0000138.jpg,6
anger/image0000182.jpg,6
anger/image0000195.jpg,6
anger/image0000213.jpg,6
anger/image0000228.jpg,6
anger/image0000294.jpg,6
anger/image0000333.jpg,6
anger/image0000343.jpg,6
anger/image0000346.jpg,6
anger/image0000356.jpg,6
anger/image0000368.jpg,6
anger/image0000374.jpg,6
anger/image0000390.jpg,6
anger/image0000399.jpg,6
anger/image0000407.jpg,6
anger/image0000415.jpg,6
anger/image0000416.jpg,6
anger/image0000441.jpg,6
anger/image0000450.jpg,6
anger/image0000470.jpg,6
anger/image0000511.jpg,6
anger/image0000513.jpg,6
anger/image0000593.jpg,6
anger/image0000602.jpg,6
anger/image0000690.jpg,6
anger/image0000697.jpg,6
anger/image0000722.jpg,6
anger/image0000723.jpg,6
anger/image0000758.jpg,6
anger/image0000776.jpg,6
anger/image0000908.jpg,6
anger/image0000923.jpg,6
anger/image0000932.jpg,6
anger/image0000949.jpg,6
anger/image0000963.jpg,6
anger/image0000965.jpg,6
anger/image0000972.jpg,6
anger/image0000996.jpg,6
anger/image0001015.jpg,6
anger/image0001021.jpg,6
anger/image0001061.jpg,6
anger/image0001062.jpg,6
anger/image0001063.jpg,6
anger/image0001066.jpg,6
anger/image0001086.jpg,6
anger/image0001113.jpg,6
anger/image0001120.jpg,6
anger/image0001152.jpg,6
anger/image0001161.jpg,6
anger/image0001241.jpg,6
anger/image0001244.jpg,6
anger/image0001258.jpg,6
anger/image0001283.jpg,6
anger/image0001296.jpg,6
anger/image0001305.jpg,6
anger/image0001314.jpg,6
anger/image0001322.jpg,6
anger/image0001341.jpg,6
anger/image0001348.jpg,6
anger/image0001375.jpg,6
anger/image0001453.jpg,6
anger/image0001470.jpg,6
anger/image0001516.jpg,6
anger/image0001521.jpg,6
anger/image0001524.jpg,6
anger/image0001527.jpg,6
anger/image0001529.jpg,6
anger/image0001538.jpg,6
anger/image0001555.jpg,6
anger/image0001568.jpg,6
anger/image0001600.jpg,6
anger/image0001615.jpg,6
anger/image0001623.jpg,6
anger/image0001671.jpg,6
anger/image0001688.jpg,6
anger/image0001741.jpg,6
anger/image0001765.jpg,6
anger/image0001773.jpg,6
anger/image0001778.jpg,6
anger/image0001794.jpg,6
anger/image0001833.jpg,6
anger/image0001857.jpg,6
anger/image0001861.jpg,6
anger/image0001892.jpg,6
anger/image0001916.jpg,6
anger/image0001933.jpg,6
anger/image0001934.jpg,6
anger/image0001956.jpg,6
anger/image0001974.jpg,6
anger/image0001990.jpg,6
anger/image0002009.jpg,6
anger/image0002024.jpg,6
anger/image0002046.jpg,6
anger/image0002048.jpg,6
anger/image0002049.jpg,6
anger/image0002080.jpg,6
anger/image0002102.jpg,6
anger/image0002105.jpg,6
anger/image0002106.jpg,6
anger/image0002140.jpg,6
anger/image0002143.jpg,6
anger/image0002156.jpg,6
anger/image0002205.jpg,6
anger/image0002220.jpg,6
anger/image0002230.jpg,6
anger/image0002259.jpg,6
anger/image0002262.jpg,6
anger/image0002272.jpg,6
anger/image0002281.jpg,6
anger/image0002301.jpg,6
anger/image0002340.jpg,6
anger/image0002350.jpg,6
anger/image0002366.jpg,6
anger/image0002369.jpg,6
anger/image0002373.jpg,6
anger/image0002378.jpg,6
anger/image0002388.jpg,6
anger/image0002420.jpg,6
anger/image0002429.jpg,6
anger/image0002461.jpg,6
anger/image0002467.jpg,6
anger/image0002475.jpg,6
anger/image0002506.jpg,6
anger/image0002507.jpg,6
anger/image0002520.jpg,6
anger/image0002524.jpg,6
anger/image0002532.jpg,6
anger/image0002539.jpg,6
anger/image0002578.jpg,6
anger/image0002608.jpg,6
anger/image0002635.jpg,6
anger/image0002636.jpg,6
anger/image0002639.jpg,6
anger/image0002667.jpg,6
anger/image0002685.jpg,6
anger/image0002705.jpg,6
anger/image0002706.jpg,6
anger/image0002725.jpg,6
anger/image0002740.jpg,6
anger/image0002797.jpg,6
anger/image0002800.jpg,6
anger/image0002830.jpg,6
anger/image0002840.jpg,6
anger/image0002894.jpg,6
anger/image0002928.jpg,6
anger/image0002955.jpg,6
anger/image0002986.jpg,6
anger/image0002989.jpg,6
anger/image0003003.jpg,6
anger/image0003013.jpg,6
anger/image0003016.jpg,6
anger/image0003019.jpg,6
anger/image0003046.jpg,6
anger/image0003049.jpg,6
anger/image0003053.jpg,6
anger/image0003060.jpg,6
anger/image0003112.jpg,6
anger/image0003116.jpg,6
anger/image0003133.jpg,6
anger/image0003161.jpg,6
anger/image0003202.jpg,6
anger/image0003212.jpg,6
anger/image0003237.jpg,6
anger/image0003295.jpg,6
anger/image0003305.jpg,6
anger/image0003308.jpg,6
anger/image0003315.jpg,6
anger/image0003325.jpg,6
anger/image0003330.jpg,6
anger/image0003351.jpg,6
anger/image0003353.jpg,6
anger/image0003387.jpg,6
anger/image0003393.jpg,6
anger/image0003411.jpg,6
anger/image0003415.jpg,6
anger/image0003422.jpg,6
anger/image0003428.jpg,6
anger/image0003455.jpg,6
anger/image0003456.jpg,6
anger/image0003487.jpg,6
anger/image0003501.jpg,6
anger/image0003507.jpg,6
